RowId,OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,Price,Quantity
0,Arancione,2022-04,Collosorbo 2011 Riserva  (Brunello di Montalcino),2011,Sangiovese,95,105,27
1,Arancione,2022-04,Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,97,450,52
2,Arancione,2022-04,Isole e Olena 2010 Cepparello Sangiovese (Toscana),2010,Sangiovese,96,80,190
3,Arancione,2022-04,Biondi 2014 Contrada Monte San Nicolò  (Etna),2014,Red Blend,95,30,56
4,Arancione,2022-04,Paolo Scavino 2011 Bric dël Fiasc  (Barolo),2011,Nebbiolo,95,100,26
5,Arancione,2022-04,Castello dei Rampolla 2011 D'Alceo Red (Toscana),2011,Red Blend,95,260,56
6,Arancione,2022-04,Foradori 2012 Morei Teroldego (Vigneti delle Dolomiti),2012,Teroldego,95,50,69
7,Arancione,2022-04,Massolino 2011 Vigna Rionda Riserva  (Barolo),2011,Nebbiolo,98,151,183
8,Arancione,2022-04,Bruno Giacosa 2011 Albesani Vigna Santo Stefano  (Barbaresco),2011,Nebbiolo,95,200,197
9,Arancione,2022-04,Monteverro 2008 Red (Toscana),2008,Red Blend,95,175,150
10,Arancione,2022-04,Poggio Antico 2007 Madre Red (Toscana),2007,Red Blend,95,30,36
11,Arancione,2022-04,Mascarello Giuseppe e Figlio 2012 Perno  (Barolo),2012,Nebbiolo,95,113,106
12,Arancione,2022-04,Poggio di Sotto 2011  Brunello di Montalcino,2011,Sangiovese,95,290,50
13,Arancione,2022-04,Sesta di Sopra 2006  Brunello di Montalcino,2006,Sangiovese Grosso,95,60,31
14,Arancione,2022-04,Giuseppe Rinaldi 2013 Tre Tine  (Barolo),2013,Nebbiolo,97,375,173
15,Arancione,2022-04,Cantina Fratelli Pardi 2010 Sacrantino  (Montefalco Sagrantino),2010,Sagrantino,95,60,1
16,Arancione,2022-04,Tenuta di Biserno 2009 Biserno Red (Toscana),2009,Red Blend,95,180,170
17,Arancione,2022-04,Tenuta San Guido 2013  Bolgheri Sassicaia,2013,Red Blend,98,235,118
18,Arancione,2022-04,Marchesi Antinori 2004 Tignanello Red (Toscana),2004,Red Blend,95,79,86
19,Arancione,2022-04,Ornellaia 2010  Bolgheri Superiore,2010,Red Blend,97,240,195
20,Arancione,2022-04,Gaja 2009 Sorì San Lorenzo Nebbiolo (Langhe),2009,Nebbiolo,96,495,54
21,Arancione,2022-04,Tenuta San Guido 2014 Sassicaia  (Bolgheri Sassicaia),2014,Red Blend,95,235,55
22,Arancione,2022-04,Tenuta San Guido 2004 Sassicaia  (Bolgheri Sassicaia),2004,Red Blend,97,190,83
23,Arancione,2022-04,Produttori del Barbaresco 2009 Ovello Riserva  (Barbaresco),2009,Nebbiolo,95,65,151
24,Arancione,2022-04,Mastroberardino 2006 Radici Riserva  (Taurasi),2006,Aglianico,95,75,45
25,Arancione,2022-04,Mastroberardino 2008 Radici Antonio Riserva  (Taurasi),2008,Aglianico,95,80,124
26,Arancione,2022-04,Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),2006,Sangiovese,95,150,21
27,Arancione,2022-04,Giacomo Grimaldi 2005 Le Coste  (Barolo),2005,Nebbiolo,95,75,70
28,Arancione,2022-04,Tenuta San Guido 2010 Sassicaia  (Bolgheri Sassicaia),2010,Red Blend,97,227,98
29,Arancione,2022-04,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,95,61,3
