,OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,Price,Quantity
0,Arancione,2022-05,Gaja 2006 Conteisa Nebbiolo (Langhe),2006,Nebbiolo,97,215.0,43
1,Arancione,2022-05,Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),2007,Nebbiolo,96,80.0,92
2,Arancione,2022-05,Damilano 2011 Cannubi  (Barolo),2011,Nebbiolo,95,90.0,177
3,Arancione,2022-05,Tua Rita 2005 Redigaffi Merlot (Toscana),2005,Merlot,95,275.0,182
4,Arancione,2022-05,Giuseppe Rinaldi 2012 Brunate  (Barolo),2012,Nebbiolo,96,146.0,167
5,Arancione,2022-05,Biondi Santi 2012  Brunello di Montalcino,2012,Sangiovese,96,199.0,18
6,Arancione,2022-05,Cavallotto 2011 Vignolo Riserva  (Barolo),2011,Nebbiolo,95,30.0,87
7,Arancione,2022-05,Tenuta di Biserno 2008 Lodovico Red (Toscana),2008,Red Blend,96,280.0,188
8,Arancione,2022-05,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),2007,Sagrantino,95,100.0,70
9,Arancione,2022-05,Giacomo Fenocchio 2013 Bussia  (Barolo),2013,Nebbiolo,97,55.0,35
10,Arancione,2022-05,Biondi 2014 Contrada Monte San Nicolò  (Etna),2014,Red Blend,95,30.0,179
11,Arancione,2022-05,Massolino 2013 Serralunga d'Alba  (Barolo),2013,Nebbiolo,95,52.0,126
12,Arancione,2022-05,Vietti 2006 Rocche  (Barolo),2006,Nebbiolo,95,130.0,137
13,Arancione,2022-05,Azelia 2006 San Rocco  (Barolo),2006,Nebbiolo,95,30.0,93
14,Arancione,2022-05,Guido Porro 2011 Vigna S. Caterina  (Barolo),2011,Nebbiolo,95,47.0,176
15,Arancione,2022-05,Bruno Giacosa 2012 Asili  (Barbaresco),2012,Nebbiolo,95,200.0,4
16,Arancione,2022-05,Giuseppe Rinaldi 2013 Brunate  (Barolo),2013,Nebbiolo,98,300.0,146
17,Arancione,2022-05,Biondi Santi 2001 Riserva  (Brunello di Montalcino),2001,Sangiovese,96,400.0,71
18,Arancione,2022-05,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,95,200.0,82
19,Arancione,2022-05,Passopisciaro 2012 Contrada P Nerello Mascalese (Terre Siciliane),2012,Nerello Mascalese,95,80.0,41
20,Arancione,2022-05,Brovia 2013 Rocche di Castiglione  (Barolo),2013,Nebbiolo,97,96.0,66
21,Arancione,2022-05,Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),2006,Sangiovese,95,150.0,195
22,Arancione,2022-05,Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),2008,Nebbiolo,99,595.0,43
23,Arancione,2022-05,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,97,75.0,65
24,Arancione,2022-05,Guido Porro 2011 Lazzairasco  (Barolo),2011,Nebbiolo,95,46.0,71
25,Arancione,2022-05,Castelgiocondo 2007  Brunello di Montalcino,2007,Sangiovese Grosso,95,75.0,40
26,Arancione,2022-05,Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),2007,Nebbiolo,99,440.0,77
27,Arancione,2022-05,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini  (Vin Santo del Chianti Classico),1997,White Blend,97,30.0,100
28,Arancione,2022-05,Eugenio Bocchino 2007 La Serra  (Barolo),2007,Nebbiolo,95,30.0,27
29,Arancione,2022-05,Abbadia Ardenga 2012 Vigna Piaggia  (Brunello di Montalcino),2012,Sangiovese,95,65.0,180
30,Arancione,2022-05,Lis Neris 2007 Tal Lùc White (Friuli),2007,White Blend,95,88.0,61
31,Arancione,2022-05,Mastroberardino 2008 Radici Antonio Riserva  (Taurasi),2008,Aglianico,95,80.0,52
32,Arancione,2022-05,Massolino 2011 Vigna Rionda Riserva  (Barolo),2011,Nebbiolo,98,151.0,172
33,Arancione,2022-05,Mirafiore 2007 Riserva  (Barolo),2007,Nebbiolo,95,135.0,159
34,Arancione,2022-05,Dal Forno Romano 2003 Vigneto di Monte Lodoletta  (Amarone della Valpolicella),2003,"Corvina, Rondinella, Molinara",96,470.0,189
35,Arancione,2022-05,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,95,110.0,91
36,Arancione,2022-05,Oddero 2010 Brunate  (Barolo),2010,Nebbiolo,95,123.0,141
37,Arancione,2022-05,Mascarello Giuseppe e Figlio 2009 Santo Stefano di Perno  (Barolo),2009,Nebbiolo,96,110.0,33
38,Arancione,2022-05,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),2008,Red Blend,97,220.0,91
39,Arancione,2022-05,Marchesi di Barolo 2007 Cannubi  (Barolo),2007,Nebbiolo,95,135.0,110
40,Arancione,2022-05,Sesta di Sopra 2006  Brunello di Montalcino,2006,Sangiovese Grosso,95,60.0,118
41,Arancione,2022-05,Castello Banfi 2007 Excelsus Red (Toscana),2007,Red Blend,97,81.0,8
42,Arancione,2022-05,Cafaggio 2010 Basilica Solatìo Riserva  (Chianti Classico),2010,Sangiovese,95,40.0,7
43,Arancione,2022-05,Ceretto 2005 Bricco Rocche Bricco Rocche  (Barolo),2005,Nebbiolo,95,252.0,1
44,Arancione,2022-05,Lazzeretti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,120.0,144
45,Arancione,2022-05,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),2007,Merlot,100,460.0,47
46,Arancione,2022-05,Casanova di Neri 2006 Tenuta Nuova  (Brunello di Montalcino),2006,Sangiovese Grosso,97,80.0,195
47,Arancione,2022-05,Grimaldi Bruna 2013 Badarina  (Barolo),2013,Nebbiolo,97,75.0,51
48,Arancione,2022-05,Il Paradiso di Manfredi 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese,95,144.0,149
49,Arancione,2022-05,Mocali 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,85.0,145
50,Arancione,2022-05,Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),2012,Sangiovese,99,200.0,43
51,Arancione,2022-05,Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,97,450.0,15
52,Arancione,2022-05,Cavallotto 2013 Bricco Boschis  (Barolo),2013,Nebbiolo,96,90.0,154
53,Arancione,2022-05,Luciano Sandrone 2007 Cannubi Boschis  (Barolo),2007,Nebbiolo,96,165.0,150
54,Arancione,2022-05,Lisini 2011  Brunello di Montalcino,2011,Sangiovese,95,80.0,162
55,Arancione,2022-05,Punset 2004 Riserva  (Barbaresco),2004,Nebbiolo,95,30.0,43
56,Arancione,2022-05,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),2008,Red Blend,98,102.0,65
57,Arancione,2022-05,Cavallotto 2007 Vignolo Riserva  (Barolo),2007,Nebbiolo,97,98.0,158
58,Arancione,2022-05,Biondi Santi 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,100,550.0,198
59,Arancione,2022-05,Elvio Cogno 2011 Ravera  (Barolo),2011,Nebbiolo,95,76.0,44
60,Arancione,2022-05,Gianni Brunelli 2011  Brunello di Montalcino,2011,Sangiovese,95,56.0,168
61,Arancione,2022-05,Bruno Giacosa 2011 Albesani Vigna Santo Stefano  (Barbaresco),2011,Nebbiolo,95,200.0,192
62,Arancione,2022-05,Guastaferro 2008 Primum  (Taurasi),2008,Aglianico,95,30.0,105
63,Arancione,2022-05,Elvio Cogno 2010 Bricco Pernice  (Barolo),2010,Nebbiolo,96,110.0,83
64,Arancione,2022-05,Massolino 2013 Parussi  (Barolo),2013,Nebbiolo,96,97.0,105
65,Arancione,2022-05,Fattoria Petrolo 2004 Galatrona Merlot (Toscana),2004,Merlot,97,100.0,128
66,Arancione,2022-05,Massolino 2006 Parafada  (Barolo),2006,Nebbiolo,95,94.0,97
67,Arancione,2022-05,Brovia 2013 Villero  (Barolo),2013,Nebbiolo,96,96.0,118
68,Arancione,2022-05,Cordero di Montezemolo 2006 Bricco Gattera  (Barolo),2006,Nebbiolo,95,30.0,117
69,Arancione,2022-05,Marchesi Antinori 2009 Tignanello Red (Toscana),2009,Red Blend,95,105.0,1
70,Arancione,2022-05,Giacomo Fenocchio 2008 Bussia 90 Dì  (Barolo),2008,Nebbiolo,97,80.0,80
71,Arancione,2022-05,Castello dei Rampolla 2012 d'Alceo Red (Toscana),2012,Red Blend,95,242.0,84
72,Arancione,2022-05,Giuseppe Rinaldi 2011 Brunate  (Barolo),2011,Nebbiolo,95,135.0,17
73,Arancione,2022-05,Gaja 2006 Sperss Nebbiolo (Langhe),2006,Nebbiolo,98,255.0,105
74,Arancione,2022-05,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),2008,Red Blend,97,215.0,93
75,Arancione,2022-05,Marchesi Antinori 2009 Tignanello Red (Toscana),2009,Red Blend,95,105.0,192
76,Arancione,2022-05,Rivetto 2010 Briccolina Riserva  (Barolo),2010,Nebbiolo,96,210.0,187
77,Arancione,2022-05,Monteverro 2008 Red (Toscana),2008,Red Blend,95,175.0,122
78,Arancione,2022-05,Le Macchiole 2007 Messorio Merlot (Toscana),2007,Merlot,99,320.0,84
79,Arancione,2022-05,Giovanni Rosso 2011 Cerretta  (Barolo),2011,Nebbiolo,95,95.0,189
80,Arancione,2022-05,Massolino 2013 Margheria  (Barolo),2013,Nebbiolo,96,97.0,46
81,Arancione,2022-05,Terlan 2004 Rarità 2004 Pinot Bianco (Alto Adige),2004,Pinot Bianco,95,165.0,122
82,Arancione,2022-05,Rizzi 2014 Nervo  (Barbaresco),2014,Nebbiolo,95,59.0,196
83,Arancione,2022-05,Ciacci Piccolomini d'Aragona 2012 Vigna di Pianrosso  (Brunello di Montalcino),2012,Sangiovese,95,90.0,21
84,Arancione,2022-05,Capanna 2011  Brunello di Montalcino,2011,Sangiovese,95,50.0,167
85,Arancione,2022-05,Pieropan 2011 La Rocca  (Soave Classico),2011,Garganega,95,31.0,77
86,Arancione,2022-05,Gaja 2009 Costa Russi Nebbiolo (Langhe),2009,Nebbiolo,95,495.0,98
87,Arancione,2022-05,Giacomo Grimaldi 2005 Le Coste  (Barolo),2005,Nebbiolo,95,75.0,160
88,Arancione,2022-05,Terralsole 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,96,89.0,56
89,Arancione,2022-05,Ornellaia 2010  Bolgheri Superiore,2010,Red Blend,97,240.0,20
90,Arancione,2022-05,Castello di Verduno 2011 Massara  (Barolo),2011,Nebbiolo,95,85.0,25
91,Arancione,2022-05,Masi 2003 Mazzano  (Amarone della Valpolicella Classico),2003,"Corvina, Rondinella, Molinara",96,175.0,128
92,Arancione,2022-05,Padelletti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,96,115.0,72
93,Arancione,2022-05,Bel Colle 2012 Simposio  (Barolo),2012,Nebbiolo,95,60.0,78
94,Arancione,2022-05,Poggio Antico 2007 Madre Red (Toscana),2007,Red Blend,95,30.0,106
95,Arancione,2022-05,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),2004,Red Blend,98,175.0,5
96,Arancione,2022-05,Fuligni 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,96,195.0,137
97,Arancione,2022-05,Le Gode 2012  Brunello di Montalcino,2012,Sangiovese,95,80.0,144
98,Arancione,2022-05,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,97,100.0,0
99,Arancione,2022-05,Gaja 2007 Sorì San Lorenzo Nebbiolo (Langhe),2007,Nebbiolo,99,440.0,183
100,Arancione,2022-05,Pio Cesare 2013  Barolo,2013,Nebbiolo,95,77.0,47
101,Arancione,2022-05,Felsina 2010 Colonia Gran Selezione  (Chianti Classico),2010,Sangiovese,95,115.0,152
102,Arancione,2022-05,Dal Forno Romano 2006  Amarone della Valpolicella,2006,"Corvina, Rondinella, Molinara",95,530.0,9
103,Arancione,2022-05,Benanti 2010 Pietramarina Bianco Superiore  (Etna),2010,Carricante,95,45.0,128
104,Arancione,2022-05,Mauro Veglio 2013 Rocche dell'Annunziata  (Barolo),2013,Nebbiolo,95,75.0,177
105,Arancione,2022-05,Il Palazzone 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,170.0,17
106,Arancione,2022-05,Vallana 2006  Gattinara,2006,Nebbiolo,95,32.0,193
107,Arancione,2022-05,Marchesi Antinori 2010 Solaia Red (Toscana),2010,Red Blend,97,325.0,7
108,Arancione,2022-05,Baricci 2010 Nello Riserva  (Brunello di Montalcino),2010,Sangiovese,98,120.0,46
109,Arancione,2022-05,Paolo Scavino 2013 Cannubi  (Barolo),2013,Nebbiolo,95,90.0,132
110,Arancione,2022-05,Benanti 2009  Etna,2009,Nerello Mascalese,95,50.0,82
111,Arancione,2022-05,Ceretto 2013 Prapò  (Barolo),2013,Nebbiolo,96,130.0,63
112,Arancione,2022-05,Tua Rita 2005 Giusto di Notri Red (Toscana),2005,Red Blend,95,100.0,8
113,Arancione,2022-05,Foradori 2012 Morei Teroldego (Vigneti delle Dolomiti),2012,Teroldego,95,50.0,150
114,Arancione,2022-05,Casanova di Neri 2007  Brunello di Montalcino,2007,Sangiovese Grosso,95,50.0,146
115,Arancione,2022-05,Gigi Rosso 2009 Arione  (Barolo),2009,Nebbiolo,95,49.0,146
116,Arancione,2022-05,Le Salette 2008 Pergole Vece  (Amarone della Valpolicella Classico),2008,"Corvina, Rondinella, Molinara",95,132.0,140
117,Arancione,2022-05,Brovia 2013 Brea Vigna Cà Mia  (Barolo),2013,Nebbiolo,97,96.0,14
118,Arancione,2022-05,Livio Felluga 2007 Picolit Picolit (Colli Orientali del Friuli),2007,Picolit,97,90.0,104
119,Arancione,2022-05,Castello Banfi 2007 Poggio alle Mura Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,95,30.0,165
