,ProductId,country,description,designation,Score,Price,province,region_1,region_2,taster_ProductName,taster_twitter_handle,Title,Vintage,Variety,Winery,Year
0,350,Italy,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",Vignolo Riserva,97,150.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Cavallotto 2010 Vignolo Riserva  (Barolo),2010,Nebbiolo,Cavallotto,2010
1,361,Italy,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",Simposio,95,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Bel Colle 2012 Simposio  (Barolo),2012,Nebbiolo,Bel Colle,2012
2,1561,Italy,"Here's a “wow” wine on every level, with incredible intensity and supple softness that builds momentum over many long minutes. A sweet cherry note at the core is surrounded by lush layers of tobacco, dark chocolate and spice, which promise to evolve gracefully over years to come.",Guado al Tasso,98,102.0,Tuscany,Bolgheri Superiore,,,,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),2008,Red Blend,Marchesi Antinori,2008
3,1563,Italy,"Recently implemented winemaker and cellar changes make this one of the best Sassicaias ever. This Cabernet Sauvignon-Cabernet Franc blend delivers thick concentration and sun-kissed aromas of black fruit, prune, dried bay leaf, black olive and tobacco. The thick, fertile soils that characterize the magical strip of coastal Tuscany at Bol-gheri help shape amazing richness and intensity.",Sassicaia,97,220.0,Tuscany,Bolgheri Sassicaia,,,,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),2008,Red Blend,Tenuta San Guido,2008
4,1564,Italy,"The 2008 Ornellaia delivers concentrated aromas of forest fruit, raspberry and black cherry. There are beautiful elements of soft spice and chocolate at the back and the wine ends with soft, plush tannins and smooth, berry-rich flavors.",Ornellaia,97,215.0,Tuscany,Bolgheri Superiore,,,,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),2008,Red Blend,Tenuta dell'Ornellaia,2008
5,1570,Italy,"Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now.",Argentiera,96,75.0,Tuscany,Bolgheri Superiore,,,,Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),2008,Red Blend,Tenuta Argentiera,2008
6,2509,Italy,"This structured wine opens with earthy aromas of tilled soil, underbrush, leather, cedar, bright berries and baking spices. The vibrant palate displays classic Nebbiolo flavors of crushed dark cherry, clove, cinnamon, truffle, sage, thyme and licorice alongside brisk acidity and bracing but noble tannins. It will bloom into a beauty. Drink 2020–2040.",Rocche dell'Annunziata,95,65.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),2010,Nebbiolo,Aurelio Settimo,2010
7,2510,Italy,"Scents of woodland berries, violets, dried rose petals, baking spices and Mediterranean herbs emerge from this wine. Crushed Morello cherry, graphite, red raspberry and white pepper all come seamlessly together on the palate alongside invigorating energy and intensity. It shows fantastic aging potential. Drink 2020–2040.",Villero,95,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giacomo Fenocchio 2010 Villero  (Barolo),2010,Nebbiolo,Giacomo Fenocchio,2010
8,2511,Italy,"Aromas of Mediterranean herbs, hay, leather and red berry come together in this structured Barolo. Loaded with energy and intensity, it delivers creamy cherry-berry flavors layered with white pepper, clove, nutmeg and orange zest. It already has depth but needs time to develop complexity. Drink after 2022.",Cerretta,95,96.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Giovanni Rosso 2010 Cerretta  (Barolo),2010,Nebbiolo,Giovanni Rosso,2010
9,2512,Italy,"It offers classic Nebbiolo scents of red berry, forest floor, violet, baking spices, leather and Mediterranean herbs. The juicy palate doles out bright red cherry, mint, sage and black pepper alongside firm but velvety tannins and fresh acidity. Drink 2016–2024.",Boito Riserva,95,59.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Rizzi 2009 Boito Riserva  (Barbaresco),2009,Nebbiolo,Rizzi,2009
