DateYear,DateMonth,YearMonth,LastDayOfMonth,Quarter,Season
2021,1,2021-01,1/31/2021,1,Winter
2021,2,2021-02,2/28/2021,1,Winter
2021,3,2021-03,3/31/2021,1,Spring
2021,4,2021-04,4/30/2021,2,Spring
2021,5,2021-05,5/31/2021,2,Spring
2021,6,2021-06,6/30/2021,2,Summer
2021,7,2021-07,7/31/2021,3,Summer
2021,8,2021-08,8/31/2021,3,Summer
2021,9,2021-09,9/30/2021,3,Fall
2021,10,2021-10,10/31/2021,4,Fall
2021,11,2021-11,11/30/2021,4,Fall
2021,12,2021-12,12/31/2021,4,Winter
2022,1,2022-01,1/31/2022,1,Winter
2022,2,2022-02,2/28/2022,1,Winter
2022,3,2022-03,3/31/2022,1,Spring
2022,4,2022-04,4/30/2022,2,Spring
2022,5,2022-05,5/31/2022,2,Spring
2022,6,2022-06,6/30/2022,2,Summer
2022,7,2022-07,7/31/2022,3,Summer
2022,8,2022-08,8/31/2022,3,Summer
2022,9,2022-09,9/30/2022,3,Fall
2022,10,2022-10,10/31/2022,4,Fall
2022,11,2022-11,11/30/2022,4,Fall
2022,12,2022-12,12/31/2022,4,Winter
2023,1,2023-01,1/31/2023,1,Winter
2023,2,2023-02,2/28/2023,1,Winter
2023,3,2023-03,3/31/2023,1,Spring
2023,4,2023-04,4/30/2023,2,Spring
2023,5,2023-05,5/31/2023,2,Spring
2023,6,2023-06,6/30/2023,2,Summer
2023,7,2023-07,7/31/2023,3,Summer
2023,8,2023-08,8/31/2023,3,Summer
2023,9,2023-09,9/30/2023,3,Fall
2023,10,2023-10,10/31/2023,4,Fall
2023,11,2023-11,11/30/2023,4,Fall
2023,12,2023-12,12/31/2023,4,Winter
