ProductId;Country;Score;DealerPrice;Markup;ListPrice;Province;Region_1;Region_2;Title;Vintage;Variety;Winery;Year
350;Italy;97;115;1.3;150.0;Piedmont;Barolo;;Cavallotto 2010 Vignolo Riserva  (Barolo);2010;Nebbiolo;Cavallotto;2010
361;Italy;95;42;1.4;60.0;Piedmont;Barolo;;Bel Colle 2012 Simposio  (Barolo);2012;Nebbiolo;Bel Colle;2012
1561;Italy;98;78;1.3;102.0;Tuscany;Bolgheri Superiore;;Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore);2008;Red Blend;Marchesi Antinori;2008
1563;Italy;97;169;1.3;220.0;Tuscany;Bolgheri Sassicaia;;Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia);2008;Red Blend;Tenuta San Guido;2008
1564;Italy;97;165;1.3;215.0;Tuscany;Bolgheri Superiore;;Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore);2008;Red Blend;Tenuta dell'Ornellaia;2008
1570;Italy;96;57;1.3;75.0;Tuscany;Bolgheri Superiore;;Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore);2008;Red Blend;Tenuta Argentiera;2008
2509;Italy;95;46;1.4;65.0;Piedmont;Barolo;;Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo);2010;Nebbiolo;Aurelio Settimo;2010
2510;Italy;95;42;1.4;60.0;Piedmont;Barolo;;Giacomo Fenocchio 2010 Villero  (Barolo);2010;Nebbiolo;Giacomo Fenocchio;2010
2511;Italy;95;68;1.4;96.0;Piedmont;Barolo;;Giovanni Rosso 2010 Cerretta  (Barolo);2010;Nebbiolo;Giovanni Rosso;2010
2512;Italy;95;42;1.4;59.0;Piedmont;Barbaresco;;Rizzi 2009 Boito Riserva  (Barbaresco);2009;Nebbiolo;Rizzi;2009
4503;Italy;97;46;1.3;60.0;Sicily & Sardinia;Terre Siciliane;;Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane);2013;Nerello Mascalese;Passopisciaro;2013
4513;Italy;96;112;1.3;146.0;Piedmont;Barolo;;Giuseppe Rinaldi 2012 Brunate  (Barolo);2012;Nebbiolo;Giuseppe Rinaldi;2012
4515;Italy;95;68;1.4;96.0;Piedmont;Barolo;;Massolino 2012 Parafada  (Barolo);2012;Nebbiolo;Massolino;2012
4522;Italy;95;160;1.4;225.0;Piedmont;Barolo;;Giacomo Conterno 2011 Francia  (Barolo);2011;Nebbiolo;Giacomo Conterno;2011
4523;Italy;95;21;1.4;30.0;Sicily & Sardinia;Etna;;Biondi 2014 Contrada Monte San Nicolò  (Etna);2014;Red Blend;Biondi;2014
4524;Italy;95;28;1.4;40.0;Sicily & Sardinia;Etna;;Biondi 2014 Outis Rosso  (Etna);2014;Red Blend;Biondi;2014
