ProductId;Country;Score;DealerPrice;Markup;ListPrice;Province;Region_1;Region_2;Title;Vintage;Variety;Winery;Year
0;Italy;87;6;1.5;10.0;Sicily & Sardinia;Etna;;Nicosia 2013 Vulkà Bianco  (Etna);2013;White Blend;Nicosia;2013
6;Italy;87;10;1.5;16.0;Sicily & Sardinia;Vittoria;;Terre di Giurfo 2013 Belsito Frappato (Vittoria);2013;Frappato;Terre di Giurfo;2013
13;Italy;87;6;1.5;10.0;Sicily & Sardinia;Etna;;Masseria Setteporte 2012 Rosso  (Etna);2012;Nerello Mascalese;Masseria Setteporte;2012
22;Italy;87;12;1.5;19.0;Sicily & Sardinia;Sicilia;;Baglio di Pianetto 2007 Ficiligno White (Sicilia);2007;White Blend;Baglio di Pianetto;2007
24;Italy;87;23;1.5;35.0;Sicily & Sardinia;Sicilia;;Canicattì 2009 Aynat Nero d'Avola (Sicilia);2009;Nero d'Avola;Canicattì;2009
26;Italy;87;8;1.5;13.0;Sicily & Sardinia;Terre Siciliane;;Stemmari 2013 Dalila White (Terre Siciliane);2013;White Blend;Stemmari;2013
27;Italy;87;6;1.5;10.0;Sicily & Sardinia;Terre Siciliane;;Stemmari 2013 Nero d'Avola (Terre Siciliane);2013;Nero d'Avola;Stemmari;2013
28;Italy;87;11;1.5;17.0;Sicily & Sardinia;Cerasuolo di Vittoria;;Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria);2011;Red Blend;Terre di Giurfo;2011
31;Italy;86;6;1.5;10.0;Sicily & Sardinia;Sicilia;;Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia);2010;Red Blend;Duca di Salaparuta;2010
32;Italy;86;6;1.5;10.0;Sicily & Sardinia;Sicilia;;Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia);2011;White Blend;Duca di Salaparuta;2011
37;Italy;86;14;1.5;21.0;Sicily & Sardinia;Sicilia;;Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia);2010;Cabernet Sauvignon;Feudi del Pisciotto;2010
38;Italy;86;7;1.5;11.0;Southern Italy;Puglia;;Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia);2011;Primitivo;Feudi di San Marzano;2011
39;Italy;86;8;1.5;12.0;Sicily & Sardinia;Sicilia;;Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia);2011;Nero d'Avola;Feudo di Santa Tresa;2011
40;Italy;86;11;1.5;17.0;Sicily & Sardinia;Sicilia;;Feudo Montoni 2011 Catarratto (Sicilia);2011;Catarratto;Feudo Montoni;2011
46;Italy;86;8;1.5;13.0;Sicily & Sardinia;Sicilia;;Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia);2011;Inzolia;Tasca d'Almerita;2011
50;Italy;86;6;1.5;10.0;Sicily & Sardinia;Sicilia;;Viticultori Associati Canicatti 2008 Scialo Red (Sicilia);2008;Red Blend;Viticultori Associati Canicatti;2008
52;Italy;85;10;1.4;14.0;Sicily & Sardinia;Monica di Sardegna;;Cantine di Dolianova 2010 Dolia  (Monica di Sardegna);2010;Monica;Cantine di Dolianova;2010
54;Italy;85;7;1.4;10.0;Sicily & Sardinia;Sicilia;;Corvo 2010 Rosso Red (Sicilia);2010;Red Blend;Corvo;2010
57;Italy;85;9;1.4;13.0;Sicily & Sardinia;Sicilia;;Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia);2011;Grillo;Tasca d'Almerita;2011
61;Italy;86;11;1.5;17.0;Central Italy;Romagna;;Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna);2015;Sangiovese;Podere dal Nespoli;2015
72;Italy;86;21;1.5;32.0;Southern Italy;Aglianico del Vulture;;Grifalco 2013 Daginestra  (Aglianico del Vulture);2013;Aglianico;Grifalco;2013
88;Italy;86;19;1.5;29.0;Tuscany;Vernaccia di San Gimignano;;Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano);2014;Vernaccia;Poggio Alloro;2014
89;Italy;88;12;1.5;19.0;Tuscany;Toscana;;Fattoria Sardi 2015 Rosato (Toscana);2015;Rosato;Fattoria Sardi;2015
98;Italy;88;20;1.5;30.0;Tuscany;Morellino di Scansano;;Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano);2010;Sangiovese;Serpaia di Endrizzi;2010
104;Italy;87;10;1.5;16.0;Tuscany;Toscana;;Madonna Alta 2014 Nativo Red (Toscana);2014;Red Blend;Madonna Alta;2014
