ProductId;Country;Score;DealerPrice;Markup;ListPrice;Province;Region_1;Region_2;Title;Vintage;Variety;Winery;Year
120;Italy;92;53;1.3;70.0;Piedmont;Barolo;;Ceretto 2003 Bricco Rocche Prapó  (Barolo);2003;Nebbiolo;Ceretto;2003
130;Italy;91;53;1.3;70.0;Piedmont;Barolo;;Ceretto 2003 Bricco Rocche Brunate  (Barolo);2003;Nebbiolo;Ceretto;2003
133;Italy;91;52;1.3;68.0;Piedmont;Barolo;;Poderi Luigi Einaudi 2003  Barolo;2003;Nebbiolo;Poderi Luigi Einaudi;2003
135;Italy;91;46;1.3;60.0;Piedmont;Barolo;;Giacomo Ascheri 2001 Sorano  (Barolo);2001;Nebbiolo;Giacomo Ascheri;2001
140;Italy;;;;;;;;;;;;
141;Italy;90;32;1.4;45.0;Piedmont;Barolo;;Giacomo Ascheri 2003 Vigna dei Pola  (Barolo);2003;Nebbiolo;Giacomo Ascheri;2003
158;Italy;91;29;1.3;38.0;Tuscany;Chianti Classico;;Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico);2012;Sangiovese;Castello di Gabbiano;2012
159;Italy;91;35;1.3;46.0;Tuscany;Brunello di Montalcino;;Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino);2011;Sangiovese;Castello Romitorio;2011
200;Italy;90;32;1.4;46.0;Tuscany;Brunello di Montalcino;;Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino);2011;Sangiovese;Tenuta di Sesta;2011
201;Italy;90;44;1.4;62.0;Northeastern Italy;Alto Adige;;Terlan 2014 Nova Domus Riserva White (Alto Adige);2014;White Blend;Terlan;2014
216;Italy;90;40;1.4;57.0;Tuscany;Brunello di Montalcino;;Podere Scopetone 2012  Brunello di Montalcino;2012;Sangiovese;Podere Scopetone;2012
221;Italy;90;28;1.4;40.0;Northeastern Italy;Alto Adige;;St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige);2014;Pinot Bianco;St. Pauls;2014
222;Italy;90;32;1.4;46.0;Tuscany;Brunello di Montalcino;;Talenti 2011 Trentennale  (Brunello di Montalcino);2011;Sangiovese;Talenti;2011
223;Italy;90;32;1.4;46.0;Northeastern Italy;Alto Adige;;Terlan 2015 Pinot Bianco (Alto Adige);2015;Pinot Bianco;Terlan;2015
282;Italy;92;31;1.3;41.0;Tuscany;Toscana;;I Giusti e Zanza 2009 Dulcamara Red (Toscana);2009;Red Blend;I Giusti e Zanza;2009
291;Italy;92;35;1.3;46.0;Central Italy;Sagrantino di Montefalco;;Dionigi 2006  Sagrantino di Montefalco;2006;Sagrantino;Dionigi;2006
449;Italy;92;30;1.3;39.0;Lombardy;Franciacorta;;Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta);2006;Chardonnay;Majolini;2006
